2023-08-05 09:57:34,378:__init__:C:\g\WilE
2023-08-05 09:57:34,378:__init__:beep beep settin up the tootle toot:
wile object instantiated
2023-08-05 09:57:34,378:pull_synoptic_hist:pulling synoptic timeseries data
2023-08-05 09:57:42,429:pull_synoptic_hist:start=202308010000, end=202308050957 

beginning while loop:
2023-08-05 10:01:41,312:pull_synoptic_hist:iteration end: chunk start=202308040257, chunk end=202308040357
2023-08-05 10:01:41,312:pull_synoptic_hist:iteration start: chunk start=202308040257, chunk end=202308040357
2023-08-05 10:01:48,868:pull_synoptic_hist:iteration end: chunk start=202308040157, chunk end=202308040257
2023-08-05 10:01:48,878:pull_synoptic_hist:iteration start: chunk start=202308040157, chunk end=202308040257
2023-08-05 10:01:56,065:pull_synoptic_hist:iteration end: chunk start=202308040057, chunk end=202308040157
2023-08-05 10:01:56,065:pull_synoptic_hist:iteration start: chunk start=202308040057, chunk end=202308040157
2023-08-05 10:02:08,645:pull_synoptic_hist:iteration end: chunk start=202308032357, chunk end=202308040057
2023-08-05 10:02:08,645:pull_synoptic_hist:iteration start: chunk start=202308032357, chunk end=202308040057
2023-08-05 10:02:15,653:pull_synoptic_hist:iteration end: chunk start=202308032257, chunk end=202308032357
2023-08-05 10:02:15,655:pull_synoptic_hist:iteration start: chunk start=202308032257, chunk end=202308032357
2023-08-05 10:02:25,463:pull_synoptic_hist:iteration end: chunk start=202308032157, chunk end=202308032257
2023-08-05 10:02:25,463:pull_synoptic_hist:iteration start: chunk start=202308032157, chunk end=202308032257
2023-08-05 10:02:32,341:pull_synoptic_hist:iteration end: chunk start=202308032057, chunk end=202308032157
2023-08-05 10:02:32,341:pull_synoptic_hist:iteration start: chunk start=202308032057, chunk end=202308032157
2023-08-05 10:02:44,255:pull_synoptic_hist:iteration end: chunk start=202308031957, chunk end=202308032057
2023-08-05 10:02:44,255:pull_synoptic_hist:iteration start: chunk start=202308031957, chunk end=202308032057
2023-08-05 10:02:58,568:pull_synoptic_hist:iteration end: chunk start=202308031857, chunk end=202308031957
2023-08-05 10:02:58,568:pull_synoptic_hist:iteration start: chunk start=202308031857, chunk end=202308031957
2023-08-05 10:03:09,038:pull_synoptic_hist:iteration end: chunk start=202308031757, chunk end=202308031857
2023-08-05 10:03:09,038:pull_synoptic_hist:iteration start: chunk start=202308031757, chunk end=202308031857
2023-08-05 10:03:17,860:pull_synoptic_hist:iteration end: chunk start=202308031657, chunk end=202308031757
2023-08-05 10:03:17,860:pull_synoptic_hist:iteration start: chunk start=202308031657, chunk end=202308031757
2023-08-05 10:03:25,034:pull_synoptic_hist:iteration end: chunk start=202308031557, chunk end=202308031657
2023-08-05 10:03:25,034:pull_synoptic_hist:iteration start: chunk start=202308031557, chunk end=202308031657
2023-08-05 10:03:32,680:pull_synoptic_hist:iteration end: chunk start=202308031457, chunk end=202308031557
2023-08-05 10:03:32,680:pull_synoptic_hist:iteration start: chunk start=202308031457, chunk end=202308031557
2023-08-05 10:03:44,830:pull_synoptic_hist:iteration end: chunk start=202308031357, chunk end=202308031457
2023-08-05 10:03:44,830:pull_synoptic_hist:iteration start: chunk start=202308031357, chunk end=202308031457
2023-08-05 10:03:53,471:pull_synoptic_hist:iteration end: chunk start=202308031257, chunk end=202308031357
2023-08-05 10:03:53,471:pull_synoptic_hist:iteration start: chunk start=202308031257, chunk end=202308031357
2023-08-05 10:04:00,218:pull_synoptic_hist:iteration end: chunk start=202308031157, chunk end=202308031257
2023-08-05 10:04:00,218:pull_synoptic_hist:iteration start: chunk start=202308031157, chunk end=202308031257
2023-08-05 10:04:08,954:pull_synoptic_hist:iteration end: chunk start=202308031057, chunk end=202308031157
2023-08-05 10:04:08,954:pull_synoptic_hist:iteration start: chunk start=202308031057, chunk end=202308031157
2023-08-05 10:04:18,323:pull_synoptic_hist:iteration end: chunk start=202308030957, chunk end=202308031057
2023-08-05 10:04:18,323:pull_synoptic_hist:iteration start: chunk start=202308030957, chunk end=202308031057
2023-08-05 10:04:25,507:pull_synoptic_hist:iteration end: chunk start=202308030857, chunk end=202308030957
2023-08-05 10:04:25,507:pull_synoptic_hist:iteration start: chunk start=202308030857, chunk end=202308030957
2023-08-05 10:04:35,330:pull_synoptic_hist:iteration end: chunk start=202308030757, chunk end=202308030857
2023-08-05 10:04:35,330:pull_synoptic_hist:iteration start: chunk start=202308030757, chunk end=202308030857
2023-08-05 10:04:42,393:pull_synoptic_hist:iteration end: chunk start=202308030657, chunk end=202308030757
2023-08-05 10:04:42,393:pull_synoptic_hist:iteration start: chunk start=202308030657, chunk end=202308030757
2023-08-05 10:04:52,004:pull_synoptic_hist:iteration end: chunk start=202308030557, chunk end=202308030657
2023-08-05 10:04:52,004:pull_synoptic_hist:iteration start: chunk start=202308030557, chunk end=202308030657
2023-08-05 10:05:00,089:pull_synoptic_hist:iteration end: chunk start=202308030457, chunk end=202308030557
2023-08-05 10:05:00,089:pull_synoptic_hist:iteration start: chunk start=202308030457, chunk end=202308030557
2023-08-05 10:05:15,009:pull_synoptic_hist:iteration end: chunk start=202308030357, chunk end=202308030457
2023-08-05 10:05:15,009:pull_synoptic_hist:iteration start: chunk start=202308030357, chunk end=202308030457
2023-08-05 10:05:24,629:pull_synoptic_hist:iteration end: chunk start=202308030257, chunk end=202308030357
2023-08-05 10:05:24,629:pull_synoptic_hist:iteration start: chunk start=202308030257, chunk end=202308030357
2023-08-05 10:05:36,400:pull_synoptic_hist:iteration end: chunk start=202308030157, chunk end=202308030257
2023-08-05 10:05:36,400:pull_synoptic_hist:iteration start: chunk start=202308030157, chunk end=202308030257
2023-08-05 10:05:43,562:pull_synoptic_hist:iteration end: chunk start=202308030057, chunk end=202308030157
2023-08-05 10:05:43,562:pull_synoptic_hist:iteration start: chunk start=202308030057, chunk end=202308030157
2023-08-05 10:05:50,409:pull_synoptic_hist:iteration end: chunk start=202308022357, chunk end=202308030057
2023-08-05 10:05:50,409:pull_synoptic_hist:iteration start: chunk start=202308022357, chunk end=202308030057
2023-08-05 10:05:59,525:pull_synoptic_hist:iteration end: chunk start=202308022257, chunk end=202308022357
2023-08-05 10:05:59,525:pull_synoptic_hist:iteration start: chunk start=202308022257, chunk end=202308022357
2023-08-05 10:06:09,344:pull_synoptic_hist:iteration end: chunk start=202308022157, chunk end=202308022257
2023-08-05 10:06:09,344:pull_synoptic_hist:iteration start: chunk start=202308022157, chunk end=202308022257
