,ELEVATION,LONGITUDE,QC_FLAGGED,LATITUDE,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,OBSERVATIONS.air_temp_value_1.date_time,OBSERVATIONS.air_temp_value_1.value,OBSERVATIONS.air_temp_value_2.date_time,OBSERVATIONS.air_temp_value_2.value,OBSERVATIONS.sea_level_pressure_value_1d.date_time,OBSERVATIONS.sea_level_pressure_value_1d.value,OBSERVATIONS.sea_level_pressure_value_1.date_time,OBSERVATIONS.sea_level_pressure_value_1.value,OBSERVATIONS.dew_point_temperature_value_1d.date_time,OBSERVATIONS.dew_point_temperature_value_1d.value,OBSERVATIONS.dew_point_temperature_value_1.date_time,OBSERVATIONS.dew_point_temperature_value_1.value,OBSERVATIONS.relative_humidity_value_1.date_time,OBSERVATIONS.relative_humidity_value_1.value
5488,3388,-119.28009,False,36.74639,2020-07-25T15:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,23.48,,,,,,,2023-08-06T17:10:00Z,10.87,,,2023-08-06T17:10:00Z,45.12
5489,772,-122.16522,False,37.84738,2020-07-27T06:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,24.9,,,,,,,2023-08-06T17:10:00Z,15.72,,,2023-08-06T17:10:00Z,56.77
5490,1345,-122.18009,False,37.85157,2020-07-27T06:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,26.28,,,,,,,2023-08-06T17:10:00Z,15.36,,,2023-08-06T17:10:00Z,51.12
5491,743,-122.00566,False,37.89127,2020-07-27T06:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,25.57,,,,,,,2023-08-06T17:10:00Z,13.33,,,2023-08-06T17:10:00Z,46.76
5492,2316,-122.569220,False,41.904370,2023-06-15T17:56:00Z,2023-08-06T15:52:00Z,2023-08-06T16:52:00Z,25.0,,,,,,,2023-08-06T16:52:00Z,10.44,,,2023-08-06T16:52:00Z,40.0
5493,662,-122.34701,False,39.09128,2020-07-28T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,32.44,,,,,,,2023-08-06T17:10:00Z,10.16,,,2023-08-06T17:10:00Z,25.31
5494,6202,-120.23032,False,39.19847,2020-07-28T14:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:20:00Z,20.08,,,,,,,2023-08-06T17:20:00Z,5.92,,,2023-08-06T17:20:00Z,39.77
5495,335,-121.68390,False,37.15235,2020-07-28T21:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,24.4,,,,,,,2023-08-06T17:10:00Z,13.7,,,2023-08-06T17:10:00Z,51.39
5496,680,-117.83406,False,34.09107,2020-07-29T01:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,28.11,,,,,,,2023-08-06T17:20:00Z,17.7,,,2023-08-06T17:20:00Z,53.22
5497,1993,-120.20948,False,37.60778,2020-07-29T16:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,27.83,,,,,,,2023-08-06T17:10:00Z,13.42,,,2023-08-06T17:10:00Z,41.12
5498,2439,-117.03649,False,33.98504,2020-07-29T15:52:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.61,,,,,,,2023-08-06T17:20:00Z,6.49,,,2023-08-06T17:20:00Z,20.67
5499,883,-118.93599,False,34.19763,2020-07-29T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,25.19,,,,,,,2023-08-06T17:20:00Z,15.7,,,2023-08-06T17:20:00Z,55.75
5500,1309,-117.13682,False,33.58746,2020-07-29T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.22,,,,,,,2023-08-06T17:20:00Z,10.82,,,2023-08-06T17:20:00Z,28.4
5501,3346,-119.08660,False,36.68335,2020-07-30T00:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,25.67,,,,,,,2023-08-06T17:10:00Z,11.71,,,2023-08-06T17:10:00Z,41.81
5502,1397,-117.23268,False,33.60027,2020-07-30T01:13:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.11,,,,,,,2023-08-06T17:20:00Z,11.79,,,2023-08-06T17:20:00Z,30.48
5503,1473,-121.93229,False,37.66215,2020-07-30T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,27.0,,,,,,,2023-08-06T17:10:00Z,11.45,,,2023-08-06T17:10:00Z,37.94
5504,6458,-120.22144,False,39.18169,2020-07-30T14:14:00Z,2023-01-18T01:30:00Z,2023-01-18T01:30:00Z,-5.71,,,,,,,2023-01-18T01:30:00Z,-6.93,,,2023-01-18T01:30:00Z,91.2
5505,535,-118.87068,False,34.27921,2020-07-30T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,27.44,,,,,,,2023-08-06T17:20:00Z,15.77,,,2023-08-06T17:20:00Z,48.95
5506,733,-121.15174,False,38.90872,2020-07-31T22:35:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,28.5,,,,,,,2023-08-06T17:10:00Z,13.09,,,2023-08-06T17:10:00Z,38.67
5507,3893,-118.62421,False,35.07601,2020-07-31T01:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,24.66,,,,,,,2023-08-06T17:20:00Z,9.58,,,2023-08-06T17:20:00Z,38.54
5508,4247,-120.03043,False,37.53467,2020-07-31T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,23.98,,,,,,,2023-08-06T17:10:00Z,12.64,,,2023-08-06T17:10:00Z,49.16
5509,722,-122.69621,False,38.49704,2020-07-31T03:15:00Z,2023-07-31T17:50:00Z,2023-08-05T22:40:00Z,29.72,,,,,,,2023-08-05T22:40:00Z,13.45,,,2023-08-05T22:40:00Z,36.87
5510,4647,-119.09722,False,36.76455,2020-08-01T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,21.77,,,,,,,2023-08-06T17:10:00Z,10.93,,,2023-08-06T17:10:00Z,50.28
5511,1083,-123.23179,False,38.90899,2020-08-01T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,24.02,,,,,,,2023-08-06T17:10:00Z,13.86,,,2023-08-06T17:10:00Z,53.12
5512,801,-122.05770,False,37.85999,2020-08-01T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,26.17,,,,,,,2023-08-06T17:10:00Z,12.95,,,2023-08-06T17:10:00Z,44.0
5513,865,-122.95445,False,38.44557,2020-08-01T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,27.06,,,,,,,2023-08-06T17:10:00Z,14.73,,,2023-08-06T17:10:00Z,46.85
5514,2216,-123.87922,False,40.63500,2020-08-01T03:14:00Z,2023-07-31T17:40:00Z,2023-08-06T17:10:00Z,19.74,,,,,,,2023-08-06T17:10:00Z,12.88,,,2023-08-06T17:10:00Z,64.75
5515,273,-122.93458,False,38.38458,2020-08-01T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,23.61,,,,,,,2023-08-06T17:10:00Z,14.87,,,2023-08-06T17:10:00Z,58.12
5516,3897,-118.60230,False,35.09080,2020-08-03T13:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,24.4,,,,,,,2023-08-06T17:20:00Z,9.85,,,2023-08-06T17:20:00Z,39.86
5517,1303,-117.19123,False,34.08573,2020-08-03T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.11,,,,,,,2023-08-06T17:20:00Z,12.23,,,2023-08-06T17:20:00Z,31.38
5518,1062,-117.31441,False,34.04199,2020-08-03T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.0,,,,,,,2023-08-06T17:20:00Z,11.23,,,2023-08-06T17:20:00Z,31.34
5519,270,-122.48550,False,37.63417,2020-08-04T22:09:00Z,2023-07-31T17:55:00Z,2023-08-06T17:20:00Z,13.33,,,2023-08-06T17:20:00Z,1015.95,,,2023-08-06T17:20:00Z,12.05,,,2023-08-06T17:20:00Z,92.0
5520,3211,-123.51096,False,39.81358,2020-08-05T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,24.24,,,,,,,2023-08-06T17:10:00Z,7.48,,,2023-08-06T17:10:00Z,34.27
5521,768,-121.92632,False,37.75261,2020-08-05T03:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,26.72,,,,,,,2023-08-06T17:10:00Z,12.36,,,2023-08-06T17:10:00Z,40.95
5522,1014,-118.84657,False,34.16644,2020-08-05T19:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.22,,,,,,,2023-08-06T17:20:00Z,11.22,,,2023-08-06T17:20:00Z,30.91
5523,901,-118.77076,False,34.14428,2020-08-05T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.39,,,,,,,2023-08-06T17:20:00Z,13.77,,,2023-08-06T17:20:00Z,36.21
5524,2379,-121.09481,False,39.14052,2020-08-06T15:44:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,29.72,,,,,,,2023-08-06T17:10:00Z,10.5,,,2023-08-06T17:10:00Z,30.33
5525,6606,-118.63358,False,36.18027,2020-08-06T01:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,17.99,,,,,,,2023-08-06T17:20:00Z,7.9,,,2023-08-06T17:20:00Z,51.87
5526,754,-122.55637,False,37.89113,2020-08-06T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,17.78,,,,,,,2023-08-06T17:10:00Z,14.42,,,2023-08-06T17:10:00Z,80.8
5527,1148,-117.32925,False,34.11458,2020-08-06T13:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.83,,,,,,,2023-08-06T17:20:00Z,11.25,,,2023-08-06T17:20:00Z,29.88
5528,5761,-119.28915,False,37.16547,2020-08-06T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,21.54,,,,,,,2023-08-06T17:20:00Z,6.04,,,2023-08-06T17:20:00Z,36.64
5529,2069,-117.09101,False,34.02104,2020-08-06T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,33.0,,,,,,,2023-08-06T17:20:00Z,4.04,,,2023-08-06T17:20:00Z,16.06
5530,887,-118.76353,False,34.14687,2020-08-06T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.39,,,,,,,2023-08-06T17:20:00Z,14.14,,,2023-08-06T17:20:00Z,37.09
5531,1338,-117.12697,False,33.59130,2020-08-07T01:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.72,,,,,,,2023-08-06T17:20:00Z,11.52,,,2023-08-06T17:20:00Z,30.63
5532,278,-121.81515,False,36.94774,2020-08-07T00:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,14.57,,,,,,,2023-08-06T17:10:00Z,14.57,,,2023-08-06T17:10:00Z,100.0
5533,873,-121.83829,False,37.41638,2020-08-07T15:05:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,21.54,,,,,,,2023-08-06T17:10:00Z,14.53,,,2023-08-06T17:10:00Z,64.49
5534,3385,-121.62075,False,36.53398,2020-08-07T00:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,25.9,,,,,,,2023-08-06T17:10:00Z,7.51,,,2023-08-06T17:10:00Z,31.07
5535,442,-123.00017,False,38.76048,2020-08-07T00:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,28.17,,,,,,,2023-08-06T17:10:00Z,13.2,,,2023-08-06T17:10:00Z,39.72
5536,669,-117.15833,False,33.17067,2020-08-07T00:09:00Z,2023-07-31T17:55:00Z,2023-08-06T17:19:00Z,27.78,,,2023-08-06T17:19:00Z,1016.1,,,2023-08-06T17:19:00Z,20.09,,,2023-08-06T17:19:00Z,63.0
5537,742,-121.86020,False,37.80448,2020-08-07T06:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,27.33,,,,,,,2023-08-06T17:10:00Z,13.67,,,2023-08-06T17:10:00Z,43.03
5538,782,-123.79156,False,39.96314,2020-08-07T06:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,21.91,,,,,,,2023-08-06T17:10:00Z,13.05,,,2023-08-06T17:10:00Z,57.27
5539,3843,-123.59165,False,39.95518,2020-08-07T18:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,19.54,,,,,,,2023-08-06T17:10:00Z,7.85,,,2023-08-06T17:10:00Z,46.95
5540,1196,-117.34001,False,34.11830,2020-08-07T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.5,,,,,,,2023-08-06T17:20:00Z,11.6,,,2023-08-06T17:20:00Z,29.42
5541,938,-121.16873,False,38.95071,2020-08-08T21:24:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,28.33,,,,,,,2023-08-06T17:10:00Z,13.24,,,2023-08-06T17:10:00Z,39.45
5542,7636,-120.33855,False,39.32017,2020-08-08T21:24:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,15.39,,,,,,,2023-08-06T17:10:00Z,4.92,,,2023-08-06T17:10:00Z,49.89
5543,367,-122.08630,False,38.68624,2020-08-08T21:35:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,33.17,,,,,,,2023-08-06T17:10:00Z,11.25,,,2023-08-06T17:10:00Z,26.11
5544,352,-120.92988,False,38.19527,2020-08-09T03:15:00Z,2023-07-31T17:50:00Z,2023-04-14T01:20:00Z,19.51,,,,,,,2023-04-14T01:20:00Z,5.41,,,2023-04-14T01:20:00Z,39.78
5545,2738,-123.30558,False,39.73264,2020-08-09T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,21.55,,,,,,,2023-08-06T17:10:00Z,11.31,,,2023-08-06T17:10:00Z,52.25
5546,1694,-123.46458,False,39.63375,2020-08-09T03:15:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,26.22,,,,,,,2023-08-06T17:10:00Z,11.82,,,2023-08-06T17:10:00Z,40.74
5547,177,-123.72945,False,39.50174,2020-08-20T21:14:00Z,2023-07-18T07:20:00Z,2023-07-18T07:20:00Z,8.99,,,,,,,2023-07-18T07:20:00Z,8.38,,,2023-07-18T07:20:00Z,96.0
5548,371,-122.05560,False,38.47195,2020-08-10T21:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,33.94,,,,,,,2023-08-06T17:10:00Z,10.38,,,2023-08-06T17:10:00Z,23.57
5549,2719,-120.56845,False,38.29944,2020-08-10T21:14:00Z,2023-07-31T16:00:00Z,2023-08-06T17:10:00Z,25.36,,,,,,,2023-08-06T17:10:00Z,11.3,,,2023-08-06T17:10:00Z,41.44
5550,246,-122.02359,False,38.36731,2020-08-10T21:14:00Z,2023-07-31T17:50:00Z,2023-07-20T02:20:00Z,32.5,,,,,,,2023-07-20T02:20:00Z,11.05,,,2023-07-20T02:20:00Z,26.77
5551,1024,-117.14540,False,33.48153,2020-08-10T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,29.56,,,,,,,2023-08-06T17:20:00Z,13.37,,,2023-08-06T17:20:00Z,37.02
5552,1328,-117.22594,False,34.03675,2020-08-10T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.56,,,,,,,2023-08-06T17:20:00Z,10.59,,,2023-08-06T17:20:00Z,29.06
5553,1190,-117.08567,False,33.26262,2020-08-11T19:53:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,28.5,,,,,,,2023-08-06T17:20:00Z,18.64,,,2023-08-06T17:20:00Z,55.17
5554,1554,-121.87272,False,37.52297,2020-08-11T15:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,27.89,,,,,,,2023-08-06T17:10:00Z,11.15,,,2023-08-06T17:10:00Z,35.29
5555,1188,-117.24212,False,33.58182,2020-08-11T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,31.0,,,,,,,2023-08-06T17:20:00Z,12.96,,,2023-08-06T17:20:00Z,33.15
5556,1131,-117.23553,False,33.56217,2020-08-11T22:12:00Z,2023-08-06T16:30:00Z,2023-08-06T17:20:00Z,30.28,,,,,,,2023-08-06T17:20:00Z,13.42,,,2023-08-06T17:20:00Z,35.61
5557,899,-121.26742,False,39.59160,2020-08-12T00:14:00Z,2023-07-31T17:50:00Z,2023-08-06T17:10:00Z,28.78,,,,,,,2023-08-06T17:10:00Z,9.38,,,2023-08-06T17:10:00Z,29.73
